Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),Heating:Electricity [J](Hourly),Heating:Gas [J](Hourly),Cooling:Electricity [J](Hourly),HVACFan:Fans:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),General:InteriorLights:Electricity [J](Hourly),General:ExteriorLights:Electricity [J](Hourly),Appl:InteriorEquipment:Electricity [J](Hourly),Misc:InteriorEquipment:Electricity [J](Hourly) 
 11/21  15:00:00,1.081396922,2.115759322,0,1.389714803,0,0.049285574,0.049285574,0.049285574,0.197367691,0.044974641,0.362691423,0.403677593
 11/21  16:00:00,1.229211916,2.445074634,0,1.709960056,0,0.060637585,0.060637585,0.060637585,0.280469821,0.063911332,0.374676266,0.426116912
 11/21  17:00:00,1.722872735,4.644226532,0,3.831389198,0,0.135898548,0.135898548,0.135898548,0.50900068,0.115987232,0.434564651,0.504021624
 11/21  18:00:00,2.479425162,6.378756759,0,5.402939863,0,0.191718435,0.191718435,0.191718435,0.903735932,0.205936484,0.542328589,0.612305722
 11/21  19:00:00,2.945732199,7.337522196,0,6.214558221,0,0.220589733,0.220589733,0.220589733,1.236144588,0.281683279,0.489135394,0.664779206
 11/21  20:00:00,2.870285151,8.194320376,0,7.047127699,0,0.250191885,0.250191885,0.250191885,1.236144588,0.281683279,0.392682536,0.686182864
 11/21  21:00:00,2.754872564,8.73219384,0,7.669604042,0,0.272326497,0.272326497,0.272326497,1.142654688,0.260379501,0.34633896,0.709772917
 11/21  22:00:00,2.538887477,9.699591119,0,8.742883645,0,0.310460189,0.310460189,0.310460189,0.966062662,0.220139033,0.325623251,0.693202343
 11/21  23:00:00,2.105018253,10.30408781,0,9.521536034,0,0.338125932,0.338125932,0.338125932,0.716756139,0.16332896,0.26352943,0.599877791
 11/21  24:00:00,1.71126088,11.12362526,0,10.52787878,0,0.37386668,0.37386668,0.37386668,0.498612913,0.113620146,0.180478502,0.521282639
 11/22  01:00:00,1.292527176,11.58020515,0,11.18213302,0,0.397102679,0.397102679,0.397102679,0.259694289,0.059177159,0.121972906,0.431180143
 11/22  02:00:00,1.128165676,11.89410611,0,11.58554949,0,0.411413847,0.411413847,0.411413847,0.155816494,0.035506296,0.105025705,0.397003334
 11/22  03:00:00,1.081705271,12.90984962,0,12.62567505,0,0.448330667,0.448330667,0.448330667,0.103877703,0.023670861,0.090025644,0.392400397
 11/22  04:00:00,1.064185064,12.82827441,0,12.5376499,0,0.445228817,0.445228817,0.445228817,0.103877703,0.023670861,0.081130812,0.386876872
 11/22  05:00:00,1.090651706,13.71811734,0,13.3584515,0,0.474385244,0.474385244,0.474385244,0.103877703,0.023670861,0.093055352,0.372262546
 11/22  06:00:00,1.153825636,13.81126565,0,13.14273008,0,0.466750472,0.466750472,0.466750472,0.114265469,0.02603795,0.107956662,0.415415083
 11/22  07:00:00,1.38093058,14.31013988,0,13.06556762,0,0.464026409,0.464026409,0.464026409,0.197367691,0.044974641,0.171190562,0.479971277
 11/22  08:00:00,1.795553482,15.2075461,0,13.80258825,0,0.490204783,0.490204783,0.490204783,0.384347484,0.087582196,0.262513577,0.510005442
 11/22  09:00:00,1.601286955,11.30361785,0,9.943983557,0,0.353130068,0.353130068,0.353130068,0.373959718,0.08521511,0.334401917,0.431180143
 11/22  10:00:00,1.337933805,9.294003326,0,8.062777551,0,0.286233201,0.286233201,0.286233201,0.207755457,0.047341728,0.406234251,0.366969169
 11/22  11:00:00,1.265178245,7.464268125,0,6.380469049,0,0.226450025,0.226450025,0.226450025,0.176592027,0.040240468,0.422896049,0.375599676
 11/22  12:00:00,1.210898225,5.270244079,0,4.318827008,0,0.153238362,0.153238362,0.153238362,0.176592027,0.040240468,0.441712618,0.375714749
 11/22  13:00:00,1.129268977,3.324143059,0,2.476109585,0,0.08782842,0.08782842,0.08782842,0.176592027,0.040240468,0.431822351,0.369385711
 11/22  14:00:00,1.067899234,2.28638331,0,1.498849813,0,0.053149405,0.053149405,0.053149405,0.176592027,0.040240468,0.392358472,0.382158861
 11/22  15:00:00,1.063372099,1.609675981,0,0.881720808,0,0.031260751,0.031260751,0.031260751,0.197367691,0.044974641,0.362691423,0.403677593
 11/22  16:00:00,1.20766918,1.839932695,0,1.102786295,0,0.039094848,0.039094848,0.039094848,0.280469821,0.063911332,0.374676266,0.426116912
